Locality,LGA,Split_id,ERP_2016,ERP_2056,EMP_2016,EMP_2056
GLADESVILLE,Ryde (C),483,8867.0,13416.0,4655.0,7648.0
GLEBE,Sydney (C),966,14562.0,19829.0,6202.0,9460.0
GLEDSWOOD HILLS,Camden (A),476,1536.0,9803.0,141.0,419.0
GLEN ALPINE,Campbelltown (C) (NSW),488,5967.0,13063.0,441.0,647.0
GLENBROOK,Blue Mountains (C),1240,5088.0,5875.0,1158.0,1655.0
GLENDENNING,Blacktown (C),397,5306.0,6011.0,5878.0,8342.0
GLENFIELD,Campbelltown (C) (NSW),261,9921.0,21529.0,1614.0,3162.0
GLENHAVEN,The Hills Shire (A),537,6501.0,9806.0,1027.0,1842.0
GLENMORE PARK,Penrith (C),422,23780.0,29450.0,1959.0,3614.0
GLENORIE,The Hills Shire (A),494,2791.0,3556.0,1058.0,1431.0
GLENWOOD,Blacktown (C),1112,16667.0,19977.0,2020.0,4850.0
GLOSSODIA,Hawkesbury (C),598,3494.0,3740.0,635.0,851.0
GORDON,Ku-ring-gai (A),1245,9303.0,20112.0,4516.0,6882.0
GRANVILLE,Cumberland (A),1120,11841.0,18045.0,4079.0,5958.0
GRANVILLE,Parramatta (C),1121,4261.0,14025.0,1604.0,2754.0
GRAYS POINT,Sutherland Shire (A),1061,3020.0,3770.0,371.0,587.0
GREEN VALLEY,Liverpool (C),198,12993.0,15878.0,1779.0,3969.0
GREENACRE,Canterbury-Bankstown (A),548,23289.0,33344.0,5382.0,7085.0
GREENACRE,Strathfield (A),550,1310.0,1565.0,2979.0,3366.0
GREENDALE,Liverpool (C),269,355.0,603.0,387.0,1141.0
GREENFIELD PARK,Fairfield (C),1105,5275.0,9922.0,568.0,983.0
GREENWICH,Lane Cove (A),1096,5611.0,9262.0,1571.0,1991.0
GREGORY HILLS,Camden (A),1258,3395.0,11207.0,859.0,8222.0
GREYSTANES,Cumberland (A),218,22100.0,35952.0,2813.0,4622.0
GROSE WOLD,Hawkesbury (C),544,1559.0,1604.0,470.0,726.0
GUILDFORD,Cumberland (A),693,22831.0,34786.0,2321.0,3735.0
GUILDFORD WEST,Cumberland (A),896,5016.0,7311.0,820.0,1219.0
GYMEA,Sutherland Shire (A),1239,7324.0,12109.0,2115.0,3228.0
GYMEA BAY,Sutherland Shire (A),925,7736.0,10158.0,802.0,1242.0
HABERFIELD,Inner West (A),964,6725.0,8604.0,1778.0,3054.0
HAMMONDVILLE,Liverpool (C),10,3595.0,4742.0,1118.0,2383.0
HARRINGTON PARK,Camden (A),723,10778.0,14628.0,1115.0,3628.0
HARRIS PARK,Parramatta (C),1044,6411.0,8213.0,1362.0,2464.0
HASSALL GROVE,Blacktown (C),897,4632.0,5223.0,379.0,564.0
HAYMARKET,Sydney (C),1225,7960.0,21408.0,22969.0,37344.0
HAZELBROOK,Blue Mountains (C),967,4860.0,5620.0,697.0,942.0
HEATHCOTE,Sutherland Shire (A),1084,6681.0,8618.0,1795.0,2775.0
HEBERSHAM,Blacktown (C),1027,5839.0,7106.0,292.0,443.0
HECKENBERG,Liverpool (C),200,3213.0,3783.0,189.0,751.0
HILLSDALE,Botany Bay (C),348,6636.0,9455.0,1311.0,1895.0
HINCHINBROOK,Liverpool (C),321,12823.0,19600.0,1265.0,3369.0
HOBARTVILLE,Hawkesbury (C),345,3576.0,5572.0,252.0,361.0
HOLROYD,Cumberland (A),1144,1339.0,1527.0,445.0,602.0
HOLSWORTHY,Campbelltown (C) (NSW),578,0.0,0.0,0.0,0.0
HOLSWORTHY,Liverpool (C),579,3902.0,6598.0,2908.0,4280.0
HOMEBUSH,Strathfield (A),89,8215.0,20743.0,4822.0,8104.0
HOMEBUSH WEST,Strathfield (A),1276,8852.0,21266.0,8050.0,11919.0
HORNINGSEA PARK,Liverpool (C),1314,3860.0,4806.0,528.0,1195.0
HORNSBY,Hornsby (A),350,23342.0,38187.0,15307.0,23132.0
HORNSBY HEIGHTS,Hornsby (A),208,5951.0,7745.0,610.0,944.0
HORSLEY PARK,Fairfield (C),411,1941.0,13374.0,2200.0,16569.0
HOXTON PARK,Liverpool (C),1315,1673.0,2899.0,387.0,1106.0
HUNTERS HILL,Hunters Hill (A),1300,10011.0,12293.0,2985.0,4878.0
HUNTINGWOOD,Blacktown (C),725,0.0,0.0,6166.0,8625.0
HUNTLEYS COVE,Hunters Hill (A),150,929.0,939.0,175.0,303.0
HURLSTONE PARK,Canterbury-Bankstown (A),791,4497.0,8249.0,713.0,1127.0
HURSTVILLE,Georges River (A),297,32346.0,46979.0,12388.0,19341.0
HURSTVILLE GROVE,Georges River (A),982,2078.0,2158.0,167.0,261.0
ILLAWONG,Sutherland Shire (A),1260,7594.0,9225.0,1279.0,2026.0
INGLEBURN,Campbelltown (C) (NSW),447,15587.0,19805.0,13482.0,19003.0
INGLESIDE,Northern Beaches (A),506,4718.0,13815.0,2800.0,3827.0
JAMISONTOWN,Penrith (C),651,5622.0,9297.0,4391.0,6896.0
JANNALI,Sutherland Shire (A),660,6717.0,10032.0,1563.0,2599.0
KAREELA,Sutherland Shire (A),640,3541.0,4297.0,660.0,1015.0
KATOOMBA,Blue Mountains (C),106,8791.0,10540.0,5523.0,7239.0
KEARNS,Campbelltown (C) (NSW),886,2520.0,4151.0,222.0,296.0
KELLYVILLE,The Hills Shire (A),1283,23234.0,44281.0,3963.0,7644.0
KELLYVILLE RIDGE,Blacktown (C),1029,9770.0,14125.0,1111.0,3928.0
KEMPS CREEK,Liverpool (C),414,1541.0,14829.0,652.0,2513.0
KEMPS CREEK,Penrith (C),415,643.0,764.0,956.0,23804.0
KENSINGTON,Randwick (C),315,15711.0,23474.0,10170.0,18111.0
KENTHURST,The Hills Shire (A),1103,6838.0,7838.0,2274.0,3508.0
KENTLYN,Campbelltown (C) (NSW),251,1154.0,1160.0,286.0,348.0
KILLARA,Ku-ring-gai (A),8,9754.0,13767.0,1614.0,2546.0
KILLARNEY HEIGHTS,Northern Beaches (A),1020,7720.0,8635.0,2155.0,3433.0
KINGS LANGLEY,Blacktown (C),1002,9650.0,11792.0,1260.0,1496.0
KINGS PARK,Blacktown (C),1028,3581.0,4241.0,5445.0,7434.0
KINGSFORD,Randwick (C),71,16427.0,23420.0,2366.0,3753.0
KINGSGROVE,Canterbury-Bankstown (A),641,6378.0,7715.0,3906.0,5041.0
KINGSGROVE,Georges River (A),642,3612.0,6622.0,3178.0,4367.0
KINGSGROVE,Rockdale (C),643,2946.0,3820.0,648.0,1174.0
KINGSWOOD,Penrith (C),487,9508.0,17102.0,6358.0,14862.0
