"MB_ID","JobsT10","JobsT15","JobsT20","JobsT25","JobsT30","JobsT35","JobsT40","JobsT45","JobsT5_","JobsT50","JobsT55","JobsT60"
10019573,0,0,0,21,127,849,2301,9413,0,16439,35453,43995
10019574,8,25,51,93,165,254,406,614,0,905,1190,1500
10019575,6,23,53,97,173,266,423,658,0,939,1217,1658
10019576,14,36,55,102,172,260,409,611,0,874,1181,1484
10019577,14,36,76,132,203,298,433,633,0,908,1217,1481
10019578,15,31,50,89,160,233,356,540,2,807,1123,1425
10019579,21,56,105,174,248,368,502,706,0,963,1270,1528
10019580,14,45,93,148,234,340,482,699,0,977,1277,1543
10019581,3,24,70,119,194,294,478,726,0,991,1266,1524
10019582,4,29,75,137,214,309,470,707,0,980,1276,1543
10019583,6,36,85,148,226,327,498,740,0,1013,1298,1559
10019584,13,40,93,146,229,347,483,694,0,971,1276,1545
10019585,9,33,84,142,217,319,470,693,0,982,1279,1539
10019586,3,25,76,131,207,299,472,724,0,989,1261,1536
10019587,13,52,97,157,231,352,471,626,0,864,1167,1462
10019588,11,67,120,196,289,401,538,717,0,973,1277,1571
10019589,1215,2781,5265,8658,10121,10311,10368,10582,54,11004,11469,11994
10019592,432,2480,4824,6633,8388,9709,10249,10317,162,10375,10461,10650
10019593,1133,2804,4825,6687,8820,10168,10317,10331,162,10418,10613,11091
10019594,648,2024,4234,6955,8845,9952,10256,10304,54,10364,10598,10906
10019595,1318,3419,5254,6604,7765,8872,9817,10276,81,10373,10469,10655
10019596,18,61,114,184,266,381,519,708,0,956,1257,1531
10019597,28,46,75,139,202,324,457,621,0,875,1213,1497
10019598,23,50,82,148,225,346,471,642,0,891,1213,1526
10019599,17,42,81,144,219,331,453,639,0,901,1208,1486
10019600,24,42,76,137,208,318,456,632,0,895,1224,1494
10019602,1666,2880,4957,5956,7117,8359,9385,9979,483,10364,10381,10481
10019604,25,50,75,134,207,331,457,632,0,887,1209,1500
10019606,3,26,78,138,213,318,484,753,0,1015,1290,1564
10019607,0,19,73,150,211,333,550,822,0,1077,1292,1680
10019608,0,24,64,130,203,314,525,793,0,1061,1288,1528
10019609,0,28,69,144,217,326,506,765,0,1048,1286,1548
10019610,5,27,89,163,240,335,499,732,0,992,1267,1525
10019611,0,27,76,145,222,330,495,767,0,1027,1281,1543
10019612,3,32,87,161,236,335,509,760,0,1015,1293,1556
10019613,4,18,68,121,200,337,572,839,0,1080,1426,1663
10019614,8,20,56,115,190,351,595,852,0,1081,1290,1524
10019615,0,23,67,139,208,322,514,784,0,1052,1288,1547
10019616,0,14,57,125,199,338,558,840,0,1072,1290,1535
10019617,32,111,206,286,375,432,500,573,0,677,1727,2249
10019618,33,115,208,288,371,436,497,570,0,726,1725,2772
10019619,1,21,71,136,207,311,491,753,0,1018,1299,1560
10019620,0,18,56,111,188,304,513,794,0,1037,1261,1632
10019621,5,15,75,142,217,322,465,645,0,890,1151,1402
10019622,5,13,82,144,221,313,464,691,1,927,1174,1431
10019623,0,23,54,119,191,307,505,780,0,1031,1270,1640
10019624,8,51,107,175,262,380,516,724,0,996,1299,1554
10019625,9,48,96,166,249,362,496,721,0,1003,1296,1563
10019626,0,24,64,125,204,309,500,767,0,1026,1297,1688
10019627,4,36,88,150,231,328,494,734,0,1020,1293,1551
10019628,0,15,54,105,179,318,537,820,0,1044,1287,1656
10019629,0,19,64,118,187,308,504,771,0,1029,1285,1667
10019630,0,19,61,116,188,306,509,784,0,1033,1283,1670
10019631,4,50,106,170,260,375,514,694,0,960,1279,1531
10019632,4,18,89,163,235,343,510,780,0,1013,1262,1525
10019633,3,25,86,161,232,339,533,810,0,1036,1295,1547
10019634,2,18,56,104,181,306,527,809,0,1039,1291,1661
10019635,0,15,56,110,188,300,514,771,0,1011,1264,1652
