"MB_ID","JobsA10","JobsA15","JobsA20","JobsA25","JobsA30","JobsA35","JobsA40","JobsA45","JobsA5_","JobsA50","JobsA55","JobsA60"
10019661,21005,97436,239765,379430,666901,1071522,1598326,1972564,1310,2414487,3567616,3969297
10019662,7594,37924,157241,314205,521256,784429,1331755,1758477,263,2111618,2816842,3828835
10019663,5215,30507,133841,277814,442362,729756,1198319,1687270,531,2026730,2546256,3705079
10019664,4998,29370,130155,273647,430826,718545,1183029,1675794,570,2019352,2523642,3684843
10019665,4451,27489,123668,269904,432330,702950,1160692,1648292,503,2005368,2487764,3641375
10019666,4976,29955,132462,274936,432630,727332,1187177,1682942,609,2025036,2541472,3699286
10019667,4970,30738,137411,276903,432553,731528,1206185,1694373,638,2032199,2574959,3720007
10019668,22732,98607,253204,391325,675401,1091377,1630143,1990805,879,2463003,3611604,3993428
10019669,23748,105764,255818,393373,681719,1125443,1638312,1997343,1477,2478518,3639344,3996288
10019670,21046,94283,239266,378167,665564,1065264,1597298,1972455,874,2414067,3567616,3969287
10019671,18856,87296,230709,366332,647621,1020111,1562714,1938784,632,2349198,3470320,3956247
10019672,19565,85217,232890,369705,650812,1019740,1571203,1949033,442,2361164,3513654,3958865
