"MB_CODE16","value"
10033580000,1221898
10033591000,1274409
10033592000,1284600
10033600000,926068
10033610000,902250
10033620000,924588
10033630000,885964
10033640000,1050028
10033650000,917713
10033660000,912987
10033670000,1050105
10033680000,1107643
10033691000,1108145
10033692000,1083887
10033701000,1052061
10033702000,1157913
10033703000,1043485
10033704000,1097480
10033705000,1143962
10033706000,1148521
10033710000,938442
10033720000,996465
10033730000,1042654
10033740000,877379
10033750000,854506
10033761000,1015304
10033763000,974899
10033770000,1030719
10033780000,975764
10033790000,1158159
10033800000,1028777
10033810000,1036774
10033820000,1211957
10033830000,1173046
10033840000,1231888
10033850000,1327535
10033860000,1263717
10033870000,1265417
10033880000,1275072
10033890000,1251932
10033900000,1131851
10033910000,1179137
10033920000,1183835
10033930000,873197
10033940000,873866
10033950000,959160
10033961000,915376
10033962000,879323
10033970000,874996
10033980000,872090
10033991000,840075
10033992000,936431
10034000000,842982
10034010000,883211
10034020000,762196
10034031000,995190
10034032000,1029476
10034040000,922036
10034050000,790346
10034060000,894229
10034080000,844355
10034090000,805172
10034100000,861389
10034110000,1079849
10034120000,1044477
10034130000,1061814
10034140000,1136328
10034150000,1114706
10034160000,1245988
10034170000,951763
10034180000,981425
10034190000,1183908
10034200000,1074857
10034211000,1147746
10034212000,1198863
10034220000,1044637
10034230000,1095149
10034240000,1062194
10034250000,1122507
10034270000,818839
10034280000,866671
10034290000,923931
10034300000,843480
10034310000,865443
10034320000,827434
10034330000,902967
10034350000,833831
10034360000,862457
10034370000,808756
10034380000,876070
10034390000,876319
10034410000,861620
10034421000,852994
10034422000,865382
10034430000,838019
10034440000,940499
10034450000,961869
10034460000,938688
10034470000,887685
10034480000,963517
10034490000,967620
10034500000,933805
10034520000,921106
10034530000,868752
10034540000,859253
10034550000,906120
10034560000,847571
10034570000,870377
10034580000,848416
10034590000,919392
10034600000,920227
10034610000,919972
10034620000,932122
10034631000,899555
10034632000,986467
10034640000,1007351
10034650000,1073414
10034660000,1087984
10034670000,1088763
10034680000,1070999
10034690000,1077543
10034700000,1074666
10034711000,964085
10034712000,967783
10034720000,893387
10034731000,1011430
10034732000,948127
10034733000,957727
10034740000,955971
10034750000,918349
10034760000,849795
10034770000,863432
10034780000,898341
10034791000,864295
10034792000,842905
10034793000,844912
10034800000,877126
10034810000,903142
10034820000,927454
10034841000,857687
10034842000,878045
10034850000,882261
10034860000,896140
10034870000,860848
10034880000,916148
10034891000,853342
10034892000,832639
10034900000,850124
10034911000,934233
10034912000,930707
10034920000,870251
10034930000,867927
10034941000,860084
10034942000,899133
10034970000,890662
10034980000,886291
10034990000,933247
10035001000,918916
10035002000,887745
10035010000,886692
10035020000,869001
10035030000,817939
10035041000,885294
10035042000,822828
10035050000,907141
10035060000,813736
10035070000,859260
10035080000,825368
10035130000,882486
10035140000,871131
10035170000,970984
10035180000,887310
10035190000,942093
10035210000,928590
10035220000,906771
10035230000,926945
10035240000,904008
10035250000,893305
10035260000,953702
10035270000,897304
10035280000,880191
10035290000,893189
10035300000,890197
10035310000,892979
10035320000,908071
10035330000,923292
10035340000,952254
10035350000,917704
10035360000,967482
10035370000,932624
10035380000,931685
10035390000,955316
10035400000,958531
10035410000,959841
10035420000,981286
10035430000,1012170
10035440000,1029950
10035490000,1004005
10035500000,970749
10035510000,979074
10035520000,957890
10035530000,985585
10035540000,980522
10035550000,973172
10035560000,957824
10035570000,940121
10035591000,770165
10035611000,870546
10035612000,865800
10035613000,903048
10035614000,904782
10035616000,861229
10035630000,837750
10035641000,845107
10035650000,820407
10035661000,823497
10035662000,811390
10035671000,822300
10035672000,817662
10035673000,810465
10035713000,806312
10035714000,847683
10035715000,915036
10035716000,894624
10035720000,842114
10035730000,809851
10035740000,825296
10035750000,839071
10035760000,822736
10035770000,810433
10035780000,842098
10035790000,819426
10035801000,815564
10035802000,849731
10035810000,819841
10035830000,842114
10035850000,970189
10035860000,922624
10035880000,857712
10035890000,864479
10035900000,857282
10035910000,854315
10035920000,858575
10035930000,873133
10035940000,886794
10035950000,902080
10035960000,934447
10035970000,919689
10035990000,827673
10036000000,825839
10036010000,815265
10036030000,808928
10036050000,846488
10036061000,818385
10036080000,802392
10036100000,785828
10036120000,805429
10036130000,691024
10036140000,703156
10036150000,702897
10036160000,703436
10036170000,699866
10036180000,704589
10036191000,692929
10036192000,727327
10036200000,727502
10036210000,701984
10036220000,708431
10036230000,682861
10036240000,720924
10036250000,709337
10036270000,718306
10036280000,724293
10036290000,747465
10036300000,723639
10036310000,720512
10036321000,778240
