tz16_code,tz16_name,lga_code16,lga_name16,gsc_distri,GIC_AreaName,GIC_Precinct_190919,SGS_CoDBC_UrbanType190924,SGS_CoDBC_Precincts190924,ERP_2016,ERP_2056,EMP_2016,EMP_2056,Tz16_Area,PopDensity_2016,PopDensity_2056,EmpDensity_2016,EmpDensity_2056,PopDensity_Diff,EmpDensity_Diff
79.0,Sydney Aquarium,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,80.0,598.0,1047.0,1763.0,42496.5007713,1882.50793707768,14071.746829655658,24637.322626504138,41485.76866334937,12189.238892577978,16848.446036845235
80.0,Allianz Centre,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,858.0,1068.0,6561.0,9679.0,22366.2974396,38361.28900266224,47750.41568163551,293343.14352735074,432749.31964658253,9389.126678973269,139406.1761192318
81.0,King St and Clarence St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,99.0,146.0,2423.0,3875.0,15089.0627864,6561.043677890332,9675.882595676652,160579.8871871543,256808.5277962125,3114.83891778632,96228.6406090582
82.0,Westpac Building,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,30.0,44.0,4088.0,6538.0,16846.3327611,1780.803004750876,2611.8444069679517,242664.08944738604,388096.33483537426,831.0414022170758,145432.24538798822
83.0,King St and George St,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,30.0,4565.0,6920.0,17061.2847549,175.83669946886036,1758.3669946886034,267564.84435844916,405596.6534415045,1582.530295219743,138031.80908305536
84.0,Sydney CBD_Strand Arcade,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,13.0,25.0,7331.0,10172.0,16576.711417,784.2327511757275,1508.1399061071681,442246.946066866,613631.9649968846,723.9071549314407,171385.0189300186
85.0,Sydney CBD_Centrepoint,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,6293.0,9313.0,15275.41577,0.0,0.0,411969.1466833312,609672.4397047296,0.0,197703.29302139842
86.0,David Jones_Elizabeth Street,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,3.0,5.0,3053.0,4426.0,12122.5596622,247.47248795602633,412.45414659337723,251844.50190991614,365104.41056445753,164.9816586373509,113259.90865454139
87.0,Law Courts Building Sydney,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,25.0,37.0,11853.1391008,0.0,0.0,2109.14592222348,3121.5359648907497,0.0,1012.3900426672699
88.0,"Darling Harbour_Novotel, Grand Mercure, Ibis",17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,442.0,629.0,329.0,450.0,39939.4050174,11066.764760452448,15748.857543720791,8237.478747033609,11267.068195030772,4682.092783268343,3029.589447997163
89.0,Harbourside_Darling Harbour,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,2052.0,4446.0,93823.6792967,0.0,0.0,21870.811455932468,47386.75815452034,0.0,25515.946698587875
90.0,Cockle Bay Wharf,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,1.0,169.0,230.0,12729.9179266,0.0,78.55510190764343,13275.812222391742,18067.67343875799,78.55510190764343,4791.861216366247
91.0,Cockle Bay Wharf_East,17200.0,Sydney (C),Central,OutWSPP,OutWSPP,OutWSPP,OutWSPP,0.0,0.0,11706.0,18787.0,28385.9512285,0.0,0.0,412387.09620014316,661841.4809766008,0.0,249454.38477645762
