TZ16_CODE,LGA_NAME16,LGA_CODE16,Precinct,Sub-precin,Emp_2016,Emp_2056,LOC_PID,NSW_LOCA_2,LGA_NAME16_2,Split_id,merge_id,Pop_2016,Pop_BuildO,LGA_CODE16_2,TZ16_CODE_2,Precinct_2,Sub-precin_2,Area,layer,path
"420",Botany Bay (C),"11100",OutWSPP,OutWSPP,"411","935",,,Botany Bay (C),,,"1261","1422","11100","420",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"421",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1043","1632",,,Botany Bay (C),,,"1418","2534","11100","421",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"422",Botany Bay (C),"11100",OutWSPP,OutWSPP,"513","662",,,Botany Bay (C),,,"2543","4761","11100","422",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"423",Botany Bay (C),"11100",OutWSPP,OutWSPP,"126","236",,,Botany Bay (C),,,"0","793","11100","423",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"424",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1112","1549",,,Botany Bay (C),,,"3079","4630","11100","424",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"425",Botany Bay (C),"11100",OutWSPP,OutWSPP,"199","346",,,Botany Bay (C),,,"3557","4825","11100","425",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"426",Botany Bay (C),"11100",OutWSPP,OutWSPP,"1564","2918",,,Botany Bay (C),,,"0","1331","11100","426",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"428",Randwick (C),"16550",OutWSPP,OutWSPP,"1042","1338",,,Randwick (C),,,"7","9","16550","428",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"429",Randwick (C),"16550",OutWSPP,OutWSPP,"2506","3339",,,Randwick (C),,,"0","0","16550","429",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
"430",Randwick (C),"16550",OutWSPP,OutWSPP,"1808","2053",,,Randwick (C),,,"0","0","16550","430",OutWSPP,OutWSPP,,CoD_ToMerge,/Users/hemarayaprolu/Dropbox (Sydney Uni)/Analysis/iMove : Liverpool Project/LandUseAllocation/CoD_ToMerge.shp|layername=CoD_ToMerge
