MB_ID,lon,lat,T15,T30,pop,NSW_LOCA_2,W15_value
"10027918",150.7770455000,-33.8891661000,"7279","70916","10",KEMPS CREEK,"554"
"10027919",150.7887423000,-33.8878456000,"717","46096","10",KEMPS CREEK,"540"
"10027920",150.7901148000,-33.8893775000,"647","21615","10",KEMPS CREEK,"544"
"10027921",150.7858709000,-33.8902316000,"933","47024","10",KEMPS CREEK,"610"
"10027922",150.7834640000,-33.8899411000,"1450","47084","10",KEMPS CREEK,"754"
"10027923",150.7826616000,-33.8898442000,"1924","67396","10",KEMPS CREEK,"714"
"10027924",150.7874756000,-33.8904253000,"1252","59990","10",KEMPS CREEK,"714"
"10027925",150.7866733000,-33.8903284000,"918","54452","10",KEMPS CREEK,"600"
"10027926",150.7778478000,-33.8892630000,"7410","68901","10",KEMPS CREEK,"580"
"10027927",150.7818593000,-33.8897473000,"2626","77075","10",KEMPS CREEK,"576"
"10027928",150.7869055000,-33.8889902000,"883","38341","10",KEMPS CREEK,"580"
"10027929",150.7800388000,-33.8895224000,"10418","99262","10",KEMPS CREEK,"722"
"10027930",150.7885101000,-33.8891839000,"805","55876","10",KEMPS CREEK,"636"
"10027931",150.7842663000,-33.8900379000,"1347","51594","10",KEMPS CREEK,"728"
"10027932",150.7877078000,-33.8890870000,"799","48270","10",KEMPS CREEK,"624"
"10027933",150.7893124000,-33.8892807000,"700","47585","10",KEMPS CREEK,"574"
"10027934",150.7912124000,-33.8854112000,"1262","68277","10",KEMPS CREEK,"416"
"10027935",150.7740687000,-33.8874403000,"5755","61956","10",KEMPS CREEK,"377"
"10027936",150.7900089000,-33.8852660000,"1503","75002","10",KEMPS CREEK,"486"
"10027937",150.7841607000,-33.8859264000,"1652","77181","10",KEMPS CREEK,"392"
"10027938",150.7862574000,-33.8856447000,"1126","64027","10",KEMPS CREEK,"242"
"10027939",150.7767079000,-33.8863928000,"839","42482","10",KEMPS CREEK,"456"
"10027940",150.7759056000,-33.8862959000,"770","50170","10",KEMPS CREEK,"415"
"10027941",150.7833585000,-33.8858296000,"1515","80469","10",KEMPS CREEK,"394"
"10027942",150.7732664000,-33.8873433000,"935","64416","10",KEMPS CREEK,"335"
"10027943",150.7775102000,-33.8864897000,"1068","39570","10",KEMPS CREEK,"441"
"10027944",150.7793236000,-33.8867101000,"1517","81448","10",KEMPS CREEK,"512"
"10027945",150.7805237000,-33.8868713000,"1005","70100","10",KEMPS CREEK,"490"
"10027946",150.7783125000,-33.8865866000,"1125","52330","10",KEMPS CREEK,"490"
"10027947",150.7815216000,-33.8869741000,"863","34055","10",KEMPS CREEK,"484"
"10027948",150.7817539000,-33.8856359000,"855","57186","10",KEMPS CREEK,"460"
"10027949",150.7847308000,-33.8873615000,"1886","62060","10",KEMPS CREEK,"572"
"10027950",150.7909802000,-33.8867494000,"957","63965","10",KEMPS CREEK,"420"
"10027951",150.7830101000,-33.8878369000,"1048","30332","10",KEMPS CREEK,"504"
"10027952",150.7823239000,-33.8870709000,"899","46631","10",KEMPS CREEK,"460"
"10027953",150.7820916000,-33.8884091000,"1457","76495","10",KEMPS CREEK,"428"
"10027954",150.7664255000,-33.8889363000,"626","18208","0",BADGERYS CREEK,"626"
"10027955",150.7717472000,-33.8888489000,"514","60470","10",KEMPS CREEK,"251"
"10027956",150.7754409000,-33.8889723000,"7778","80824","10",KEMPS CREEK,"484"
"10027957",150.7812893000,-33.8883123000,"612","36035","10",KEMPS CREEK,"502"
"10027958",150.7802929000,-33.8881466000,"1297","69735","10",KEMPS CREEK,"490"
"10027959",150.7863354000,-33.8875552000,"1542","70709","10",KEMPS CREEK,"506"
"10027960",150.7855331000,-33.8874583000,"1958","73487","10",KEMPS CREEK,"560"
"10027961",150.7772778000,-33.8878279000,"5816","41883","10",KEMPS CREEK,"428"
"10027962",150.7748710000,-33.8875372000,"6664","67348","10",KEMPS CREEK,"420"
"10027963",150.7751034000,-33.8861990000,"1251","67632","10",KEMPS CREEK,"380"
"10027964",150.7756733000,-33.8876341000,"6115","59229","10",KEMPS CREEK,"451"
"10027965",150.7764755000,-33.8877310000,"5662","50337","10",KEMPS CREEK,"422"
"10027966",150.7889745000,-33.8865074000,"846","49947","10",KEMPS CREEK,"502"
"10027967",150.7780801000,-33.8879248000,"1225","46606","10",KEMPS CREEK,"528"
"10027968",150.7886978000,-33.8857415000,"1077","51735","10",KEMPS CREEK,"424"
"10027969",150.7897768000,-33.8866042000,"599","45412","10",KEMPS CREEK,"434"
"10027970",150.7747659000,-33.8834257000,"1054","44031","10",KEMPS CREEK,"268"
"10027971",150.7755681000,-33.8835226000,"1360","69156","10",KEMPS CREEK,"428"
"10027972",150.7763704000,-33.8836195000,"2421","81614","10",KEMPS CREEK,"506"
"10027973",150.7753357000,-33.8848608000,"6062","56038","10",KEMPS CREEK,"354"
"10027974",150.7761380000,-33.8849577000,"1201","49225","10",KEMPS CREEK,"522"
"10027975",150.7771726000,-33.8837164000,"2152","78752","10",KEMPS CREEK,"358"
"10027976",150.7769403000,-33.8850546000,"1907","76895","10",KEMPS CREEK,"406"
"10027977",150.7776373000,-33.8810400000,"906","35384","10",KEMPS CREEK,"612"
"10027978",150.7765125000,-33.8823764000,"1006","45660","10",KEMPS CREEK,"504"
"10027979",150.7784395000,-33.8811369000,"1117","46461","10",KEMPS CREEK,"568"
"10027980",150.7778696000,-33.8797018000,"578","37390","10",KEMPS CREEK,"516"
"10027981",150.7790095000,-33.8825719000,"818","39018","10",KEMPS CREEK,"604"
"10027982",150.7800706000,-33.8824544000,"550","32348","10",KEMPS CREEK,"496"
"10027983",150.7774050000,-33.8823782000,"1223","46031","10",KEMPS CREEK,"636"
"10027984",150.7795414000,-33.8855383000,"1034","63826","10",KEMPS CREEK,"506"
"10027985",150.7737312000,-33.8846670000,"1469","75995","10",KEMPS CREEK,"297"
"10027986",150.7734988000,-33.8860052000,"909","58989","10",KEMPS CREEK,"321"
"10027987",150.7745335000,-33.8847639000,"1283","64704","10",KEMPS CREEK,"328"
"10027988",150.7743011000,-33.8861021000,"649","60914","10",KEMPS CREEK,"317"
"10027989",150.7863987000,-33.8848303000,"1059","54851","10",KEMPS CREEK,"342"
